gender,age,annual_income,employment_status,relationship_status,loneliness_frequency,group_calls,video_call_frequency,social_media_platform,paid_online_services,motivation_online_community,platform_preference,real_name_usage,subscription_payments,sharing_comfort,daily_meaningful_contacts,friend_count
Female,45,15000-25000 €,Full-time,In a relationship,Always,No,Often,TikTok,Yes,Support for personal issues,Privacy features,Always,4-5,Comfortable,11-20,6-8
Female,39,45000+ €,Full-time,Divorced,Sometimes,Yes,Rarely,Instagram,Yes,Entertainment,Content quality,Always,1-3,Very comfortable,6-10,8 and more
Female,28,35000-45000 €,Full-time,Married,Sometimes,Yes,Rarely,Facebook,No,Support for personal issues,Community guidelines,Often,None,Neutral,None,None
Male,33,15000-25000 €,Freelancer,Married,Rarely,No,Often,Instagram,Yes,Entertainment,Community guidelines,Always,1-3,Comfortable,6-10,8 and more
Female,41,15000-25000 €,Part-time,Single,Often,Yes,Rarely,Facebook,Yes,Entertainment,Privacy features,Sometimes,4-5,Neutral,20 and more,1-3
Male,37,25000-35000 €,Full-time,In a relationship,Sometimes,Yes,Never,Facebook,Yes,Support for personal issues,Content quality,Sometimes,6 or more,Very comfortable,20 and more,None
Male,39,0-15000 €,Full-time,Divorced,Always,No,Sometimes,Facebook,No,Learning new skills,Community guidelines,Sometimes,None,Comfortable,1-5,6-8
Male,28,0-15000 €,Full-time,Divorced,Sometimes,Yes,Always,Facebook,Yes,Support for personal issues,Ease of use,Often,1-3,Comfortable,6-10,6-8
Female,39,45000+ €,Unemployed,In a relationship,Often,Yes,Sometimes,TikTok,No,Support for personal issues,Privacy features,Never,6 or more,Very comfortable,6-10,4-6
Female,32,45000+ €,Unemployed,Married,Often,No,Never,TikTok,No,Learning new skills,Privacy features,Always,4-5,Uncomfortable,None,1-3
Male,28,25000-35000 €,Full-time,Married,Sometimes,No,Rarely,Twitter,No,Support for personal issues,Ease of use,Always,1-3,Very uncomfortable,1-5,6-8
Male,40,15000-25000 €,Part-time,Married,Sometimes,Yes,Often,Twitter,No,Support for personal issues,Ease of use,Never,1-3,Comfortable,11-20,4-6
Male,46,45000+ €,Full-time,Married,Often,Yes,Often,Twitter,No,Learning new skills,Community guidelines,Sometimes,4-5,Very comfortable,6-10,4-6
Female,30,45000+ €,Part-time,In a relationship,Never,Yes,Never,Instagram,No,Entertainment,Community guidelines,Often,None,Very comfortable,11-20,1-3
Male,33,25000-35000 €,Unemployed,Single,Often,Yes,Always,Instagram,No,Learning new skills,Community guidelines,Sometimes,1-3,Uncomfortable,1-5,None
Female,44,25000-35000 €,Freelancer,Divorced,Sometimes,Yes,Never,Twitter,Yes,Support for personal issues,Content quality,Rarely,None,Neutral,11-20,6-8
Male,35,0-15000 €,Part-time,Single,Sometimes,Yes,Often,Twitter,No,Learning new skills,Privacy features,Often,4-5,Very comfortable,11-20,8 and more
Female,43,35000-45000 €,Part-time,Divorced,Sometimes,No,Sometimes,Twitter,Yes,Support for personal issues,Community guidelines,Sometimes,6 or more,Comfortable,1-5,8 and more
Female,35,15000-25000 €,Part-time,Married,Rarely,No,Often,Facebook,Yes,Entertainment,Community guidelines,Often,6 or more,Uncomfortable,None,8 and more
Female,37,0-15000 €,Freelancer,Divorced,Never,No,Always,TikTok,No,Meeting new people,Privacy features,Often,None,Neutral,None,8 and more
Female,27,15000-25000 €,Unemployed,Divorced,Often,No,Always,Instagram,No,Support for personal issues,Community guidelines,Rarely,6 or more,Comfortable,20 and more,1-3
Male,35,35000-45000 €,Freelancer,Divorced,Often,Yes,Often,TikTok,Yes,Entertainment,Ease of use,Sometimes,6 or more,Comfortable,None,1-3
Female,37,45000+ €,Unemployed,Single,Sometimes,No,Sometimes,TikTok,No,Entertainment,Community guidelines,Always,6 or more,Neutral,20 and more,8 and more
